reports/run_metrics/2026-03-24__00-13-55_Logistic Regression Grid Search_report.txt		25	0.03	0.5396	0.5432	0.5359	0.5115	0.5089	0.4274
reports/run_metrics/2026-03-24__00-14-38_High Gradient Boosting Grid Search_report.txt		25	0.03	0.5134	0.5378	0.5105	0.5138	0.5314	0.5324
reports/run_metrics/2026-03-24__00-18-27_Light Gradient Boosting Grid Search_report.txt		25	0.03	0.5013	0.5407	0.5040	0.5238	0.4810	0.4491
reports/run_metrics/2026-03-24__00-18-36_Logistic Regression Grid Search_report.txt		25	0.05	0.5436	0.5738	0.5416	0.5505	0.5417	0.4970
reports/run_metrics/2026-03-24__00-19-13_High Gradient Boosting Grid Search_report.txt		25	0.05	0.5385	0.5436	0.5331	0.5328	0.5479	0.5543
reports/run_metrics/2026-03-24__00-22-20_Light Gradient Boosting Grid Search_report.txt		25	0.05	0.5255	0.5717	0.5322	0.5479	0.5263	0.4968
reports/run_metrics/2026-03-24__00-22-29_Logistic Regression Grid Search_report.txt		25	0.07	0.5499	0.5803	0.5500	0.5585	0.5468	0.4764
reports/run_metrics/2026-03-24__00-22-59_High Gradient Boosting Grid Search_report.txt		25	0.07	0.5206	0.5659	0.5117	0.5252	0.5670	0.6825
reports/run_metrics/2026-03-24__00-25-39_Light Gradient Boosting Grid Search_report.txt		25	0.07	0.5167	0.5006	0.5084	0.5225	0.5670	0.6886
reports/run_metrics/2026-03-24__00-25-48_Logistic Regression Grid Search_report.txt		25	0.1	0.5241	0.5351	0.5332	0.5402	0.5414	0.5302
reports/run_metrics/2026-03-24__00-26-12_High Gradient Boosting Grid Search_report.txt		25	0.1	0.4822	0.5652	0.4914	0.5419	0.5318	0.6269
reports/run_metrics/2026-03-24__00-28-16_Light Gradient Boosting Grid Search_report.txt		25	0.1	0.4777	0.6071	0.4925	0.4996	0.5445	0.6627
reports/run_metrics/2026-03-24__00-28-26_Logistic Regression Grid Search_report.txt		30	0.005	0.5269	0.5447	0.5326	0.5235	0.5454	0.4930
reports/run_metrics/2026-03-24__00-29-21_High Gradient Boosting Grid Search_report.txt		30	0.005	0.5011	0.5053	0.5138	0.4893	0.5106	0.4444
reports/run_metrics/2026-03-24__00-34-14_Light Gradient Boosting Grid Search_report.txt		30	0.005	0.5070	0.5505	0.5115	0.5481	0.5281	0.5467
reports/run_metrics/2026-03-24__00-34-23_Logistic Regression Grid Search_report.txt		30	0.01	0.5303	0.5396	0.5326	0.5185	0.5210	0.4484
reports/run_metrics/2026-03-24__00-35-18_High Gradient Boosting Grid Search_report.txt		30	0.01	0.4967	0.5325	0.5134	0.5172	0.4873	0.4334
reports/run_metrics/2026-03-24__00-39-53_Light Gradient Boosting Grid Search_report.txt		30	0.01	0.5045	0.5369	0.5174	0.5142	0.4837	0.4220
reports/run_metrics/2026-03-24__00-40-03_Logistic Regression Grid Search_report.txt		30	0.03	0.5353	0.5476	0.5325	0.5079	0.5032	0.4164
reports/run_metrics/2026-03-24__00-40-50_High Gradient Boosting Grid Search_report.txt		30	0.03	0.5072	0.5469	0.5135	0.5400	0.5124	0.5067
reports/run_metrics/2026-03-24__00-44-50_Light Gradient Boosting Grid Search_report.txt		30	0.03	0.5066	0.5566	0.5160	0.5422	0.5030	0.4654
reports/run_metrics/2026-03-24__00-45-00_Logistic Regression Grid Search_report.txt		30	0.05	0.5375	0.5583	0.5473	0.5220	0.5426	0.4496
reports/run_metrics/2026-03-24__00-45-39_High Gradient Boosting Grid Search_report.txt		30	0.05	0.5251	0.5379	0.5283	0.5266	0.5330	0.5174
reports/run_metrics/2026-03-24__00-49-00_Light Gradient Boosting Grid Search_report.txt		30	0.05	0.5030	0.5470	0.5027	0.5225	0.5710	0.6748
reports/run_metrics/2026-03-24__00-49-10_Logistic Regression Grid Search_report.txt		30	0.07	0.5465	0.5811	0.5517	0.5507	0.5563	0.5156
reports/run_metrics/2026-03-24__00-49-43_High Gradient Boosting Grid Search_report.txt		30	0.07	0.5182	0.5762	0.5093	0.5502	0.5443	0.6183
reports/run_metrics/2026-03-24__00-52-31_Light Gradient Boosting Grid Search_report.txt		30	0.07	0.5078	0.5081	0.5059	0.5285	0.5678	0.6968
reports/run_metrics/2026-03-24__00-52-40_Logistic Regression Grid Search_report.txt		30	0.1	0.5058	0.5108	0.5187	0.4957	0.4748	0.3573
reports/run_metrics/2026-03-24__00-53-06_High Gradient Boosting Grid Search_report.txt		30	0.1	0.4910	0.4792	0.5048	0.5126	0.5594	0.6416
reports/run_metrics/2026-03-24__00-55-11_Light Gradient Boosting Grid Search_report.txt		30	0.1	0.5114	0.4423	0.5184	0.4957	0.5798	0.6343
